,country_name,city_name,measure,aqi_level,lat,lon
383,Bulgaria,Bjala,mean_aqi,54,59.4297472,8.1722111
384,Nigeria,Shagamu,mean_aqi,217,6.8477165,3.6440551
385,South Sudan,Yambio,mean_aqi,60,4.5680716,28.39767
386,Guatemala,Ciudad Vieja,mean_aqi,129,14.512764350000001,-90.7698852760732
387,Ireland,Bray,mean_aqi,40,49.10663,0.84147
388,Turkey,Suhut,mean_aqi,51,38.5339612,30.5461288
389,Peru,Tingo Maria,mean_aqi,36,-9.2983713,-76.0003034
390,Dem. Rep. Congo,Kasongo Lunda,mean_aqi,481,-6.4786095,16.8168133
391,Canada,Thunder Bay,mean_aqi,83,48.406414,-89.259796
392,Switzerland,Horgen,mean_aqi,55,47.260692,8.5976831
393,Denmark,Skive,mean_aqi,38,56.5659301,9.029272
394,Cameroon,Loum,mean_aqi,124,10.634295000000002,-5.370284538192811
395,Australia,Geelong,mean_aqi,33,-38.1493248,144.3598241
396,Portugal,Esmoriz,mean_aqi,34,40.9627695,-8.6355218
397,Côte d'Ivoire,Anyama,mean_aqi,138,5.4958898,-4.056921
398,Sweden,Hoganas,mean_aqi,36,56.2008565,12.5515849
399,Ethiopia,Bure,mean_aqi,78,41.4016294,-89.5341179
400,Thailand,Phrai Bung,mean_aqi,53,14.7543619,104.3610246
401,Hungary,Cegled,mean_aqi,63,47.1716447,19.7977516
402,Kazakhstan,Shu,mean_aqi,61,39.3305654,112.4262465
403,Israel,Nahef,mean_aqi,143,50.1118999,8.9162321
